,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,ORIENTSEX.BN_1,ORIENTSEX.BN_2
676,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.4,0.24,2.375,2.5,1.484375,2.2857142857142856,2.0,0.7755102040816327,4.0,0.4,1.0,1,0,1,0
677,1,0.0,15.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,2.25,2.0,0.4375,4.0,4.0,0.0,4.2,0.5599999999999999,1.0,1,0,1,0
678,1,0.0,16.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0,3.4,0.24,2.125,2.0,1.109375,4.0,4.0,0.0,4.6,0.6399999999999999,1.0,0,1,1,0
679,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.2,0.1599999999999999,2.125,2.0,1.109375,2.571428571428572,3.0,1.3877551020408163,5.0,0.0,2.0,0,1,1,0
680,1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.875,3.0,0.359375,3.2857142857142856,3.0,0.489795918367347,4.0,0.4,1.0,0,1,1,0
681,1,0.0,15.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.5,2.5,0.25,2.857142857142857,3.0,1.2653061224489797,5.0,0.0,1.0,0,1,1,0
682,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.375,2.0,0.734375,3.4285714285714284,4.0,1.1020408163265307,4.4,0.24,1.0,1,0,1,0
683,1,0.0,16.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,2.2,0.1599999999999999,2.0,2.0,0.75,2.142857142857143,2.0,0.1224489795918367,4.6,0.24,1.0,0,1,1,0
684,1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0,2.6,0.24,2.75,3.0,0.9375,3.2857142857142856,3.0,0.489795918367347,3.8,0.1599999999999999,2.0,0,1,0,1
685,1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,3.4,0.64,2.375,2.5,0.984375,3.857142857142857,4.0,0.1224489795918367,3.0,0.0,5.0,1,0,1,0
686,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.2,0.5599999999999999,1.875,1.5,0.859375,3.142857142857143,4.0,0.979591836734694,4.6,0.6399999999999999,1.0,0,1,1,0
687,1,1.0,17.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,2.25,2.0,0.9375,3.4285714285714284,4.0,0.5306122448979592,4.2,0.5599999999999999,1.0,1,0,1,0
688,1,0.0,16.0,0.0,3,2,1.0,0.0,1.0,0.0,1.0,1,3.0,1.2,3.125,3.0,0.359375,2.857142857142857,2.0,0.979591836734694,3.2,1.7600000000000002,3.0,1,0,1,0
689,1,0.0,15.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.8,0.96,2.5,3.0,0.5,3.857142857142857,4.0,0.1224489795918367,3.8,0.5599999999999999,4.0,0,1,0,1
