idx,y_victim,pred_victim,score_victim,EDAD,GENERO.BN0,GENERO.BN1,PAÍS,ETNIA.BN,ORIENTSEX.BN0,ORIENTSEX.BN1
2688,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
2054,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
2001,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
3275,1,1,0.5456885456885456,17.0,False,True,True,True,True,False
69,1,0,0.25101214574898784,14.0,True,False,True,False,True,False
1170,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
3122,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
3235,1,1,0.5456885456885456,15.0,False,True,True,True,False,True
814,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
2526,0,1,0.5456885456885456,17.0,False,True,True,False,True,False
1686,0,1,0.5456885456885456,15.0,False,True,True,False,True,False
3340,0,1,0.5456885456885456,15.0,False,True,True,True,True,False
530,1,1,0.5456885456885456,17.0,False,True,True,False,True,False
1099,0,0,0.25101214574898784,16.0,False,True,True,False,True,False
1843,1,1,0.5456885456885456,14.0,False,True,True,False,False,True
1921,1,1,0.5456885456885456,14.0,False,True,True,True,True,False
3219,1,1,0.5456885456885456,16.0,False,True,True,False,False,True
3055,1,0,0.25101214574898784,16.0,False,True,True,False,True,False
557,1,0,0.25101214574898784,15.0,False,True,True,False,True,False
3729,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
1836,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
1424,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
3318,1,1,0.5456885456885456,17.0,False,True,True,False,True,False
3412,0,1,0.5456885456885456,16.0,True,False,True,True,True,False
2439,0,1,0.5456885456885456,14.0,False,True,True,False,True,False
1931,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
3696,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
572,1,1,0.5456885456885456,15.0,False,True,True,False,False,True
675,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
1215,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
1616,0,0,0.25101214574898784,17.0,False,True,True,False,True,False
311,0,1,0.5456885456885456,17.0,True,False,False,True,True,False
199,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
2953,1,1,0.5456885456885456,16.0,True,False,False,True,True,False
3369,0,1,0.5456885456885456,17.0,False,True,True,False,True,False
1737,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
2690,1,0,0.25101214574898784,15.0,True,False,True,False,True,False
3570,0,1,0.5456885456885456,14.0,False,True,True,False,True,False
2501,1,1,0.5456885456885456,15.0,False,True,True,False,False,True
1402,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
2661,1,1,0.5456885456885456,15.0,True,False,True,False,True,False
2520,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
2560,1,1,0.5456885456885456,17.0,False,True,True,False,True,False
1754,0,1,0.5456885456885456,15.0,False,True,True,False,True,False
581,1,1,0.5456885456885456,16.0,True,False,True,True,True,False
325,0,1,0.5456885456885456,15.0,True,False,True,True,True,False
2713,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
3605,1,1,0.5456885456885456,14.0,True,False,True,False,False,True
3691,0,0,0.25101214574898784,14.0,True,False,True,False,True,False
2610,0,1,0.5456885456885456,17.0,False,True,False,True,True,False
632,1,1,0.5456885456885456,17.0,False,True,True,False,True,False
2053,0,0,0.25101214574898784,14.0,True,False,True,False,True,False
94,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
2455,0,1,0.5456885456885456,15.0,True,False,True,True,True,False
3662,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
1834,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
1194,0,1,0.5456885456885456,15.0,False,True,True,False,True,False
3345,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
1964,0,1,0.5456885456885456,17.0,False,True,True,False,True,False
2326,1,1,0.5456885456885456,16.0,True,False,True,True,True,False
2835,1,1,0.5456885456885456,16.0,True,False,False,False,False,True
2877,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
2589,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
563,1,1,0.5456885456885456,17.0,True,False,True,True,True,False
437,1,1,0.5456885456885456,15.0,True,False,True,False,False,True
666,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
3413,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
3569,1,1,0.5456885456885456,15.0,True,False,True,False,True,False
3653,1,0,0.25101214574898784,14.0,True,False,True,False,True,False
3198,0,1,0.5456885456885456,16.0,True,False,True,True,True,False
1138,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
3529,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
1139,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
576,0,0,0.25101214574898784,16.0,True,False,True,False,True,False
1888,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
2715,0,1,0.5456885456885456,14.0,False,True,False,True,True,False
1443,1,1,0.5456885456885456,14.0,True,False,True,False,True,False
2233,0,1,0.5456885456885456,15.0,False,True,True,False,True,False
1722,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
