u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,screening_score,TP,FP,TN,FN,n_seeds_ensemble
64,tanh,0.3,16,tanh,0.0,0.45,0.7473460721868365,0.6998867580445909,0.6235955056179775,0.7761780104712042,0.39361702127659576,0.8984848484848484,0.4826086956521739,0.615855907669162,111,171,593,67,3
32,tanh,0.3,16,tanh,0.1,0.45,0.7059447983014862,0.6786722748396965,0.6348314606741573,0.7225130890052356,0.3476923076923077,0.8946515397082658,0.44930417495029823,0.6148857082090802,113,212,552,65,3
64,tanh,0.3,16,tanh,0.1,0.45,0.7579617834394905,0.704276722160127,0.6179775280898876,0.7905759162303665,0.4074074074074074,0.8988095238095238,0.49107142857142855,0.6141803548356874,110,160,604,68,3
32,tanh,0.3,8,tanh,0.1,0.45,0.70276008492569,0.6767089240543561,0.6348314606741573,0.7185863874345549,0.3445121951219512,0.8941368078175895,0.44664031620553357,0.6141750267949764,113,215,549,65,3
32,relu,0.3,16,relu,0.0,0.45,0.7197452229299363,0.685025589740573,0.6292134831460674,0.7408376963350786,0.36129032258064514,0.8955696202531646,0.45901639344262296,0.6135835884084263,112,198,566,66,3
32,tanh,0.3,8,tanh,0.0,0.45,0.7154989384288747,0.6824077886934525,0.6292134831460674,0.7356020942408377,0.35668789808917195,0.8949044585987261,0.45528455284552843,0.6125997857498549,112,202,562,66,3
64,tanh,0.2,16,relu,0.0,0.45,0.7494692144373672,0.6968865815636214,0.6123595505617978,0.7814136125654451,0.39492753623188404,0.8963963963963963,0.4801762114537445,0.6075217553291711,109,167,597,69,3
32,tanh,0.2,8,relu,0.1,0.45,0.7547770700636943,0.6980042943702571,0.6067415730337079,0.7892670157068062,0.40148698884758366,0.8959881129271917,0.48322147651006714,0.6044686588824053,108,161,603,70,3
32,tanh,0.2,16,tanh,0.0,0.45,0.7823779193205945,0.7085563856697452,0.5898876404494382,0.8272251308900523,0.4430379746835443,0.8964539007092198,0.5060240963855421,0.5989364229169102,105,132,632,73,3
64,tanh,0.2,8,tanh,0.1,0.45,0.7664543524416136,0.6987396317430437,0.5898876404494382,0.8075916230366492,0.4166666666666667,0.8942028985507247,0.4883720930232558,0.5943359413298821,105,147,617,73,3
64,tanh,0.3,16,relu,0.0,0.45,0.7452229299363057,0.6878051650097065,0.5955056179775281,0.7801047120418848,0.38686131386861317,0.8922155688622755,0.4690265486725664,0.5931010969730722,106,168,596,72,3
32,relu,0.3,16,relu,0.1,0.45,0.6539278131634819,0.6401405965056768,0.6179775280898876,0.662303664921466,0.29891304347826086,0.8815331010452961,0.40293040293040294,0.5905036933118827,110,258,506,68,3
32,relu,0.2,8,relu,0.0,0.45,0.7356687898089171,0.6797605741514207,0.5898876404494382,0.7696335078534031,0.3736654804270463,0.8895612708018155,0.45751633986928103,0.5862400111875955,105,176,588,73,3
32,tanh,0.2,16,relu,0.1,0.45,0.7494692144373672,0.6839593505500323,0.5786516853932584,0.7892670157068062,0.39015151515151514,0.8893805309734514,0.4660633484162896,0.5808632014004389,103,161,603,75,3
64,tanh,0.3,8,relu,0.1,0.45,0.7696390658174098,0.6920848285193246,0.5674157303370787,0.8167539267015707,0.4190871369294606,0.8901569186875892,0.4821002386634845,0.577516690632766,101,140,624,77,3
32,tanh,0.3,16,relu,0.0,0.45,0.7653927813163482,0.6894670274722043,0.5674157303370787,0.8115183246073299,0.4122448979591837,0.8895265423242468,0.47754137115839246,0.5763089065263144,101,144,620,77,3
32,tanh,0.2,8,tanh,0.0,0.45,0.6995753715498938,0.6553547267486323,0.5842696629213483,0.7264397905759162,0.33226837060702874,0.8823529411764706,0.42362525458248473,0.573286546455373,104,209,555,74,3
64,relu,0.2,8,relu,0.1,0.45,0.7802547770700637,0.6943202541325961,0.5561797752808989,0.8324607329842932,0.43612334801762115,0.8895104895104895,0.4888888888888889,0.5718022283249106,99,128,636,79,3
