outcome,fold_id,model_label,threshold,n_components,retained_variance,train_n,test_n,train_positive_prevalence,test_positive_prevalence,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support,selected_ccp_alpha,class_weight_positive,epochs_ran,positive_class_weight
perpetration,24,compact_dnn_class_weighted,0.5,18,0.9504134292337403,3014,753,0.23490378234903783,0.2350597609561753,101,203,373,76,0.5706214689265536,0.6475694444444444,0.33223684210526316,0.8307349665924276,0.609095456685499,0.4199584199584199,0.6294820717131474,0.6544059949780289,0.40484865263939146,177,576,753,,3.2570621468926553,15.0,
perpetration,25,compact_dnn_class_weighted,0.5,18,0.9500972309271497,3014,753,0.23490378234903783,0.2350597609561753,122,307,269,55,0.6892655367231638,0.4670138888888889,0.28438228438228436,0.8302469135802469,0.5781397128060264,0.4026402640264026,0.5192563081009296,0.6294138418079096,0.32456289622008017,177,576,753,,3.2570621468926553,13.0,
overlap,1,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9509856521776443,3013,754,0.18918021905077995,0.1896551724137931,111,289,322,32,0.7762237762237763,0.5270049099836334,0.2775,0.9096045197740112,0.6516143431037048,0.4088397790055249,0.5742705570291777,0.7430556350359951,0.4133988148841242,143,611,754,,,,6.428947368421053
overlap,2,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9506051195189298,3013,754,0.18918021905077995,0.1896551724137931,108,276,335,35,0.7552447552447552,0.5482815057283142,0.28125,0.9054054054054054,0.6517631304865348,0.4098671726755218,0.5875331564986738,0.7461343893422453,0.4032461614966476,143,611,754,,,,6.428947368421053
overlap,3,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9500885821853765,3014,753,0.18944923689449236,0.18857901726427623,117,275,336,25,0.823943661971831,0.5499181669394435,0.29846938775510207,0.9307479224376731,0.6869309144556373,0.43820224719101125,0.601593625498008,0.7586731518406677,0.43193139976227485,142,611,753,,,,6.41768826619965
overlap,4,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9502969405578173,3014,753,0.18944923689449236,0.18857901726427623,108,272,339,34,0.7605633802816901,0.5548281505728314,0.28421052631578947,0.9088471849865952,0.6576957654272608,0.41379310344827586,0.5936254980079682,0.7423756944284363,0.4384913738526359,142,611,753,,,,6.41768826619965
overlap,5,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9504351115605704,3014,753,0.18911745189117452,0.1899070385126162,117,280,330,26,0.8181818181818182,0.5409836065573771,0.2947103274559194,0.9269662921348315,0.6795827123695977,0.4333333333333334,0.5936254980079682,0.7435515304367764,0.41620953937770255,143,610,753,,,,6.431578947368421
overlap,6,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9504075902756014,3013,754,0.18918021905077995,0.1896551724137931,112,272,339,31,0.7832167832167832,0.5548281505728314,0.2916666666666667,0.9162162162162162,0.6690224668948073,0.4250474383301708,0.5981432360742706,0.7355704851613198,0.39643388873054947,143,611,754,,,,6.428947368421053
overlap,7,weighted_logistic_regression_SW_pos1.5,0.5,19,0.9635145412193795,3013,754,0.18918021905077995,0.1896551724137931,118,279,332,25,0.8251748251748252,0.5433715220949263,0.2972292191435768,0.9299719887955182,0.6842731736348757,0.437037037037037,0.596816976127321,0.7618371808224509,0.44166872367086724,143,611,754,,,,6.428947368421053
overlap,8,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9502686954102416,3014,753,0.18944923689449236,0.18857901726427623,106,281,330,36,0.7464788732394366,0.5400981996726678,0.2739018087855297,0.9016393442622951,0.6432885364560522,0.4007561436672968,0.5790172642762285,0.7144371960074687,0.3628145776524462,142,611,753,,,,6.41768826619965
overlap,9,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9506652054522594,3014,753,0.18944923689449236,0.18857901726427623,124,283,328,18,0.8732394366197183,0.5368248772504092,0.3046683046683047,0.9479768786127167,0.7050321569350637,0.45173041894353366,0.600265604249668,0.7861160415850258,0.48130402373678793,142,611,753,,,,6.41768826619965
overlap,10,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9510754463571701,3014,753,0.18911745189117452,0.1899070385126162,111,270,340,32,0.7762237762237763,0.5573770491803278,0.29133858267716534,0.9139784946236559,0.666800412702052,0.42366412213740456,0.598937583001328,0.7550727960564025,0.4357473380730909,143,610,753,,,,6.431578947368421
overlap,11,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9506104818095542,3013,754,0.18918021905077995,0.1896551724137931,119,299,312,24,0.8321678321678322,0.5106382978723404,0.284688995215311,0.9285714285714286,0.6714030650200863,0.42424242424242425,0.5716180371352785,0.7700319320613919,0.4741258664996382,143,611,754,,,,6.428947368421053
overlap,12,weighted_logistic_regression_SW_pos1.5,0.5,19,0.963532644093577,3013,754,0.18918021905077995,0.1896551724137931,113,272,339,30,0.7902097902097902,0.5548281505728314,0.2935064935064935,0.9186991869918699,0.6725189703913108,0.42803030303030304,0.5994694960212201,0.747084339555698,0.4226509397517034,143,611,754,,,,6.428947368421053
overlap,13,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9509238427739047,3014,753,0.18944923689449236,0.18857901726427623,109,246,365,33,0.7676056338028169,0.5973813420621932,0.30704225352112674,0.9170854271356784,0.6824934879325051,0.4386317907444668,0.6294820717131474,0.7478965445702035,0.42150352601371793,142,611,753,,,,6.41768826619965
overlap,14,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9508401502421487,3014,753,0.18944923689449236,0.18857901726427623,105,274,337,37,0.7394366197183099,0.5515548281505729,0.2770448548812665,0.9010695187165776,0.6454957239344414,0.40307101727447225,0.5869853917662683,0.7176759410801965,0.36356888684180577,142,611,753,,,,6.41768826619965
overlap,15,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9500709308249051,3014,753,0.18911745189117452,0.1899070385126162,115,277,333,28,0.8041958041958042,0.5459016393442623,0.29336734693877553,0.9224376731301939,0.6750487217700332,0.4299065420560748,0.5949535192563081,0.7521380259085179,0.42660299420650927,143,610,753,,,,6.431578947368421
overlap,16,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9505890445605061,3013,754,0.18918021905077995,0.1896551724137931,121,287,324,22,0.8461538461538461,0.530278232405892,0.2965686274509804,0.9364161849710982,0.6882160392798691,0.43920145190562615,0.5901856763925729,0.7745298890961738,0.45134597529480297,143,611,754,,,,6.428947368421053
overlap,17,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9501515378502173,3013,754,0.18918021905077995,0.1896551724137931,114,292,319,29,0.7972027972027972,0.5220949263502455,0.28078817733990147,0.9166666666666666,0.6596488617765213,0.41530054644808734,0.5742705570291777,0.744852528813249,0.41107735393778694,143,611,754,,,,6.428947368421053
overlap,18,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9504173298754007,3014,753,0.18944923689449236,0.18857901726427623,108,257,354,34,0.7605633802816901,0.5793780687397708,0.2958904109589041,0.9123711340206185,0.6699707245107305,0.4260355029585799,0.6135458167330677,0.7479195961365575,0.40507905700683844,142,611,753,,,,6.41768826619965
overlap,19,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9502228826019017,3014,753,0.18944923689449236,0.18857901726427623,107,284,327,35,0.7535211267605634,0.5351882160392799,0.27365728900255754,0.9033149171270718,0.6443546713999216,0.4015009380863039,0.5763612217795485,0.724430050021899,0.43433663844473513,142,611,753,,,,6.41768826619965
overlap,20,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9509154753707103,3014,753,0.18911745189117452,0.1899070385126162,113,262,348,30,0.7902097902097902,0.5704918032786885,0.30133333333333334,0.9206349206349206,0.6803507967442394,0.4362934362934363,0.6122177954847278,0.7524246245557721,0.41215652644437734,143,610,753,,,,6.431578947368421
overlap,21,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9507763670161476,3013,754,0.18918021905077995,0.1896551724137931,118,290,321,25,0.8251748251748252,0.5253682487725041,0.28921568627450983,0.9277456647398844,0.6752715369736646,0.4283121597096189,0.5822281167108754,0.7352843555789547,0.4108367080551892,143,611,754,,,,6.428947368421053
overlap,22,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9505102322105277,3013,754,0.18918021905077995,0.1896551724137931,119,275,336,24,0.8321678321678322,0.5499181669394435,0.3020304568527919,0.9333333333333333,0.6910429995536378,0.4432029795158287,0.603448275862069,0.7619859682052808,0.42893497243942513,143,611,754,,,,6.428947368421053
overlap,23,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9503349562737167,3014,753,0.18944923689449236,0.18857901726427623,116,263,348,26,0.8169014084507042,0.5695581014729951,0.30606860158311344,0.93048128342246,0.6932297549618497,0.44529750479846447,0.6162018592297477,0.7701297803185727,0.45913925861065785,142,611,753,,,,6.41768826619965
overlap,24,weighted_logistic_regression_SW_pos1.5,0.5,19,0.9635405030634572,3014,753,0.18944923689449236,0.18857901726427623,106,261,350,36,0.7464788732394366,0.5728314238952537,0.2888283378746594,0.9067357512953368,0.6596551485673452,0.4165029469548134,0.6055776892430279,0.7444964385329983,0.43420468955431335,142,611,753,,,,6.41768826619965
overlap,25,weighted_logistic_regression_SW_pos1.5,0.5,18,0.9510140333890533,3014,753,0.18911745189117452,0.1899070385126162,106,270,340,37,0.7412587412587412,0.5573770491803278,0.28191489361702127,0.9018567639257294,0.6493178952195345,0.40847784200385356,0.5922974767596282,0.7264931789521955,0.37191219890760163,143,610,753,,,,6.431578947368421
