outcome,fold_id,ccp_alpha,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support
victimization,1,0.0007261944493268559,185,119,186,113,0.6208053691275168,0.6098360655737705,0.6085526315789473,0.6220735785953178,0.6153207173506436,0.6146179401993356,0.615257048092869,0.5830784464737595,0.5417031676723506,298,305,603
victimization,1,0.0007420216074327823,186,117,188,112,0.6241610738255033,0.6163934426229508,0.6138613861386139,0.6266666666666667,0.6202772582242271,0.6189683860232945,0.6202321724709784,0.5936736714710089,0.5539391996901231,298,305,603
victimization,1,0.0007476398042546926,187,118,187,111,0.62751677852349,0.6131147540983607,0.6131147540983607,0.62751677852349,0.6203157663109253,0.6202321724709785,0.6202321724709784,0.6002365496754318,0.5626466842243102,298,305,603
victimization,1,0.000754627801795217,188,118,187,110,0.6308724832214765,0.6131147540983607,0.6143790849673203,0.6296296296296297,0.6219936186599186,0.6225165562913908,0.6218905472636815,0.6034437231818681,0.5661466238704939,298,305,603
victimization,1,0.0007653347309541735,191,118,187,107,0.6409395973154363,0.6131147540983607,0.6181229773462783,0.6360544217687075,0.6270271757068985,0.6293245469522241,0.6268656716417911,0.6085763010232148,0.5690335636668093,298,305,603
victimization,1,0.0007710656096588327,191,118,187,107,0.6409395973154363,0.6131147540983607,0.6181229773462783,0.6360544217687075,0.6270271757068985,0.6293245469522241,0.6268656716417911,0.6040433491033117,0.5630221718172725,298,305,603
victimization,1,0.0007745504840940523,193,118,187,105,0.6476510067114094,0.6131147540983607,0.6205787781350482,0.6404109589041096,0.630382880404885,0.6338259441707718,0.6301824212271974,0.6058092199361866,0.5644581061164733,298,305,603
victimization,1,0.0007831071571090402,193,118,187,105,0.6476510067114094,0.6131147540983607,0.6205787781350482,0.6404109589041096,0.630382880404885,0.6338259441707718,0.6301824212271974,0.6038067994278798,0.561731930118666,298,305,603
victimization,1,0.000830608689021764,197,120,185,101,0.6610738255033557,0.6065573770491803,0.6214511041009464,0.6468531468531469,0.633815601276268,0.6406504065040651,0.6334991708126037,0.6037187809439981,0.5600997219737427,298,305,603
victimization,1,0.0008765442553231524,197,119,186,101,0.6610738255033557,0.6098360655737705,0.6234177215189873,0.6480836236933798,0.6354549455385631,0.6416938110749186,0.6351575456053068,0.6122840796567279,0.5652641938408546,298,305,603
