threshold,accuracy,balanced_accuracy,precision_ppv,recall_sensitivity,specificity,npv,f1_positive,TP,FP,TN,FN,support
0.435,0.5031847133757962,0.6506265074416142,0.2607260726072607,0.8876404494382022,0.41361256544502617,0.9404761904761905,0.4030612244897959,158,448,316,20,942
0.436,0.5031847133757962,0.6506265074416142,0.2607260726072607,0.8876404494382022,0.41361256544502617,0.9404761904761905,0.4030612244897959,158,448,316,20,942
0.437,0.5042462845010616,0.6512809577033942,0.2611570247933884,0.8876404494382022,0.41492146596858637,0.9406528189910979,0.40357598978288634,158,447,317,20,942
0.438,0.5074309978768577,0.6510897699864698,0.26166666666666666,0.8820224719101124,0.4201570680628272,0.9385964912280702,0.403598971722365,157,443,321,21,942
0.439,0.5084925690021231,0.65174422024825,0.2621035058430718,0.8820224719101124,0.4214659685863874,0.9387755102040817,0.4041184041184041,157,442,322,21,942
0.44,0.5095541401273885,0.6502441320077652,0.26174496644295303,0.8764044943820225,0.42408376963350786,0.9364161849710982,0.40310077519379844,156,440,324,22,942
0.441,0.5127388535031847,0.6522074827931055,0.2630691399662732,0.8764044943820225,0.4280104712041885,0.9369627507163324,0.4046692607003891,156,437,327,22,942
0.442,0.5148619957537155,0.6535163833166657,0.2639593908629442,0.8764044943820225,0.4306282722513089,0.9373219373219374,0.4057217165149545,156,435,329,22,942
0.443,0.5148619957537155,0.6535163833166657,0.2639593908629442,0.8764044943820225,0.4306282722513089,0.9373219373219374,0.4057217165149545,156,435,329,22,942
0.444,0.5169851380042463,0.654825283840226,0.26485568760611206,0.8764044943820225,0.43324607329842935,0.9376770538243626,0.4067796610169492,156,433,331,22,942
0.445,0.5169851380042463,0.654825283840226,0.26485568760611206,0.8764044943820225,0.43324607329842935,0.9376770538243626,0.4067796610169492,156,433,331,22,942
0.446,0.5180467091295117,0.655479734102006,0.2653061224489796,0.8764044943820225,0.43455497382198954,0.9378531073446328,0.40731070496083555,156,432,332,22,942
0.447,0.5191082802547771,0.6561341843637861,0.2657580919931857,0.8764044943820225,0.43586387434554974,0.9380281690140845,0.4078431372549019,156,431,333,22,942
0.448,0.5201698513800425,0.6546340961233014,0.2654109589041096,0.8707865168539326,0.43848167539267013,0.9357541899441341,0.4068241469816273,155,429,335,23,942
0.449,0.5212314225053079,0.6552885463850815,0.2658662092624357,0.8707865168539326,0.4397905759162304,0.935933147632312,0.4073587385019711,155,428,336,23,942
0.45,0.524416135881104,0.6572518971704218,0.2672413793103448,0.8707865168539326,0.443717277486911,0.93646408839779,0.40897097625329815,155,425,339,23,942
0.451,0.5276008492569002,0.6592152479557621,0.268630849220104,0.8707865168539326,0.4476439790575916,0.936986301369863,0.41059602649006627,155,422,342,23,942
0.452,0.529723991507431,0.6605241484793223,0.26956521739130435,0.8707865168539326,0.450261780104712,0.9373297002724795,0.4116865869853918,155,420,344,23,942
0.453,0.5329087048832272,0.6624874992646627,0.270979020979021,0.8707865168539326,0.45418848167539266,0.9378378378378378,0.41333333333333333,155,417,347,23,942
0.454,0.5329087048832272,0.6624874992646627,0.270979020979021,0.8707865168539326,0.45418848167539266,0.9378378378378378,0.41333333333333333,155,417,347,23,942
0.455,0.5329087048832272,0.6624874992646627,0.270979020979021,0.8707865168539326,0.45418848167539266,0.9378378378378378,0.41333333333333333,155,417,347,23,942
0.456,0.5339702760084926,0.6609874110241779,0.27065026362038663,0.8651685393258427,0.4568062827225131,0.935656836461126,0.4123159303882195,154,415,349,24,942
0.457,0.5339702760084926,0.6609874110241779,0.27065026362038663,0.8651685393258427,0.4568062827225131,0.935656836461126,0.4123159303882195,154,415,349,24,942
0.458,0.5360934182590233,0.662296311547738,0.2716049382716049,0.8651685393258427,0.4594240837696335,0.936,0.4134228187919463,154,413,351,24,942
0.459,0.5360934182590233,0.662296311547738,0.2716049382716049,0.8651685393258427,0.4594240837696335,0.936,0.4134228187919463,154,413,351,24,942
0.46,0.5371549893842887,0.6629507618095182,0.27208480565371024,0.8651685393258427,0.4607329842931937,0.9361702127659575,0.4139784946236559,154,412,352,24,942
0.461,0.5382165605095541,0.6636052120712983,0.27256637168141595,0.8651685393258427,0.4620418848167539,0.9363395225464191,0.41453566621803506,154,411,353,24,942
0.462,0.5392781316348195,0.6621051238308135,0.2722419928825623,0.8595505617977528,0.46465968586387435,0.9342105263157895,0.4135135135135135,153,409,355,25,942
0.463,0.5414012738853503,0.6634140243543738,0.2732142857142857,0.8595505617977528,0.46727748691099474,0.9345549738219895,0.4146341463414634,153,407,357,25,942
0.464,0.5424628450106157,0.6640684746161539,0.2737030411449016,0.8595505617977528,0.468586387434555,0.9347258485639687,0.41519674355495256,153,406,358,25,942
0.465,0.5424628450106157,0.661913936113889,0.27289048473967686,0.8539325842696629,0.4698952879581152,0.9324675324675324,0.4136054421768708,152,405,359,26,942
0.466,0.5435244161358811,0.6625683863756692,0.2733812949640288,0.8539325842696629,0.4712041884816754,0.9326424870466321,0.4141689373297003,152,404,360,26,942
