outcome,threshold,prevalence,net_benefit_model,net_benefit_screen_all,net_benefit_screen_none,net_benefit_model_minus_all,net_benefit_model_minus_none,standardized_net_benefit_model
perpetration,0.18,0.2346072186836518,0.06659416912640465,0.06659416912640467,0.0,-2.7755575615628914e-17,0.06659416912640465,0.28385387926277456
perpetration,0.19,0.2346072186836518,0.05507064035018741,0.05507064035018744,0.0,-2.7755575615628914e-17,0.05507064035018741,0.23473548963745042
perpetration,0.2,0.2346072186836518,0.043259023354564746,0.043259023354564774,0.0,-2.7755575615628914e-17,0.043259023354564746,0.18438914027149317
perpetration,0.21,0.2346072186836518,0.031148378080571915,0.031148378080571942,0.0,-2.7755575615628914e-17,0.031148378080571915,0.13276819978234725
perpetration,0.22,0.2346072186836518,0.018727203440579238,0.018727203440579265,0.0,-2.7755575615628914e-17,0.018727203440579238,0.07982364543450517
perpetration,0.23,0.2346072186836518,0.00598340088785948,0.005983400887859508,0.0,-2.7755575615628914e-17,0.00598340088785948,0.025503907856849004
perpetration,0.24,0.2346072186836518,-0.007095764889931827,-0.007095764889931799,0.0,-2.7755575615628914e-17,-0.007095764889931827,-0.03024529649916643
perpetration,0.25,0.2346072186836518,-0.02052370842179757,-0.02052370842179757,0.0,0.0,-0.02052370842179757,-0.08748114630467561
perpetration,0.26,0.2346072186836518,-0.034314569346416524,-0.03431456934641647,0.0,-5.551115123125783e-17,-0.034314569346416524,-0.1462639109697935
perpetration,0.27,0.2346072186836518,-0.04848326207718934,-0.04848326207718934,0.0,0.0,-0.04848326207718934,-0.20665716233806494
perpetration,0.28,0.2346072186836518,-0.06304552960603921,-0.06304552960603921,0.0,0.0,-0.06304552960603921,-0.2687280040221219
perpetration,0.29,0.2346072186836518,-0.07801800185401159,-0.07801800185401153,0.0,-5.551115123125783e-17,-0.07801800185401159,-0.3325473201198141
perpetration,0.3,0.2346072186836518,-0.0934182590233546,-0.09341825902335454,0.0,-5.551115123125783e-17,-0.0934182590233546,-0.3981900452488689
perpetration,0.31,0.2346072186836518,-0.1092649004584757,-0.10926490045847564,0.0,-5.551115123125783e-17,-0.1092649004584757,-0.465735458062824
perpetration,0.32,0.2346072186836518,-0.12557761958286506,-0.125577619582865,0.0,-5.551115123125783e-17,-0.12557761958286506,-0.5352675006654248
perpetration,0.33,0.2346072186836518,-0.14237728554678847,-0.1423772855467884,0.0,-5.551115123125783e-17,-0.14237728554678847,-0.6068751266292974
perpetration,0.34,0.2346072186836518,-0.15968603229749734,-0.15968603229749728,0.0,-5.551115123125783e-17,-0.15968603229749734,-0.6806526806526809
perpetration,0.35,0.2346072186836518,-0.17752735587130491,-0.17752735587130486,0.0,-5.551115123125783e-17,-0.17752735587130491,-0.7567003132613992
perpetration,0.36,0.2346072186836518,-0.19532908704883228,-0.195926220806794,0.0,0.0005971337579617209,-0.19532908704883228,-0.832579185520362
perpetration,0.37,0.2346072186836518,-0.21241532706500865,-0.21490917669261617,0.0,0.002493849627607514,-0.21241532706500865,-0.9054083171730233
perpetration,0.38,0.2346072186836518,-0.23060064379152118,-0.23450448599410995,0.0,0.00390384220258877,-0.23060064379152118,-0.9829222011385201
perpetration,0.39,0.2346072186836518,-0.24795517037346426,-0.25474226445302983,0.0,0.00678709407956557,-0.24795517037346426,-1.0568948891031824
perpetration,0.4,0.2346072186836518,-0.2664543524416137,-0.27565463552724706,0.0,0.009200283085633365,-0.2664543524416137,-1.135746606334842
perpetration,0.41,0.2346072186836518,-0.28030875526287363,-0.2972759005361832,0.0,0.01696714527330956,-0.28030875526287363,-1.1948002147403936
perpetration,0.42,0.2346072186836518,-0.288125045757376,-0.31964272640749675,0.0,0.03151768065012073,-0.288125045757376,-1.2281167108753313
perpetration,0.43,0.2346072186836518,-0.30035013223078916,-0.34279435318657564,0.0,0.04244422095578648,-0.30035013223078916,-1.2802254505040878
perpetration,0.44,0.2346072186836518,-0.3090688504701243,-0.3667728237791931,0.0,0.057703973309068846,-0.3090688504701243,-1.3173884938590819
perpetration,0.45,0.2346072186836518,-0.32030496043234885,-0.3916232387569966,0.0,0.07131827832464777,-0.32030496043234885,-1.3652817770464825
perpetration,0.46,0.2346072186836518,-0.3242903200440355,-0.4173940394747188,0.0,0.0931037194306833,-0.3242903200440355,-1.3822691469750292
perpetration,0.47,0.2346072186836518,-0.3217762288186515,-0.44413732323839267,0.0,0.12236109441974119,-0.3217762288186515,-1.3715529753265596
perpetration,0.48,0.2346072186836518,-0.31781806304099297,-0.471909194839131,0.0,0.15409113179813805,-0.31781806304099297,-1.3546815175774451
perpetration,0.49,0.2346072186836518,-0.3249032096915198,-0.5007701594438199,0.0,0.17586694975230005,-0.3249032096915198,-1.384881554431727
