umap_1,umap_2,umap_3,cluster
-8.112527,4.665573,3.2585492,0
17.808168,6.274408,4.767854,3
16.20373,6.363517,4.4882026,3
16.202309,6.363813,4.4867105,3
16.744757,6.099113,5.083492,3
-8.113289,4.6377544,3.2110567,0
16.201992,6.360388,4.4920816,3
15.971243,18.455154,7.558564,5
18.10135,0.043706723,22.7542,7
14.233608,3.6635618,2.5778506,3
19.08587,0.012950614,24.123043,7
-8.081672,4.6579514,3.2342887,0
12.588795,15.008005,-9.136576,6
16.64542,6.2772803,4.2215657,3
-8.062444,4.639171,3.1832187,0
-8.065896,4.6355896,3.1958303,0
16.572205,6.2998238,4.1681776,3
10.074448,-6.1428814,-6.572571,1
-8.107653,4.67998,3.270126,0
4.32669,-4.1258693,18.684496,8
-8.074735,4.667594,3.2180886,0
16.8329,4.741818,4.6043468,3
17.631903,6.1521893,4.8518405,3
-8.079861,4.6324825,3.2047162,0
-8.096359,4.671132,3.2199838,0
-8.066863,4.6701965,3.212182,0
-8.091482,4.654331,3.1915705,0
16.834429,6.144041,4.9993625,3
-8.085952,4.6685667,3.2020304,0
-8.080711,4.6728363,3.210249,0
-8.087526,4.685261,3.2069807,0
-8.076855,4.681609,3.2059999,0
23.125654,-13.781592,0.8837525,2
-8.096384,4.6707344,3.191137,0
-8.092225,4.669041,3.1868083,0
-8.108997,4.681609,3.2058756,0
-8.103146,4.6766105,3.1922674,0
19.087523,0.014561703,24.124855,7
-8.102691,4.678536,3.1907663,0
-8.128474,4.6675224,3.1712751,0
-8.111075,4.678048,3.1875272,0
13.520043,-6.439584,0.7259465,1
12.604831,14.987909,-9.155883,6
4.3265023,-4.126085,18.684658,8
16.989628,6.0909696,4.9706674,3
-8.105993,4.6888623,3.195219,0
10.070935,-6.1409245,-6.570017,1
16.948683,6.070935,4.9614305,3
10.071225,-6.1411624,-6.5703063,1
-8.129145,4.6981688,3.192155,0
15.804526,6.585911,3.1405115,3
-8.111122,4.673442,3.1735501,0
4.3275814,-4.125141,18.683636,8
-8.113427,4.7000785,3.1977382,0
-8.131329,4.6883163,3.1708567,0
-8.116102,4.6910214,3.1806977,0
17.194836,6.1345453,4.9010005,3
-8.129389,4.71052,3.2023847,0
18.101461,0.043704335,22.754248,7
-8.141748,4.7115674,3.1772618,0
-8.13742,4.7042427,3.189483,0
12.620608,-7.6286497,-1.24898,1
16.78597,6.045859,5.0580683,3
-8.149669,4.6995025,3.1782238,0
-8.153614,4.7184696,3.196866,0
25.73424,6.944375,-15.205477,4
19.087217,0.014174211,24.127295,7
-8.130508,4.7022767,3.1782753,0
-8.141291,4.713058,3.187194,0
26.050364,7.26783,-15.361198,4
-8.1420355,4.725032,3.1912184,0
19.084557,0.011513659,24.126822,7
-8.150572,4.7243,3.1862297,0
-8.144072,4.709429,3.1786358,0
-8.1481905,4.7363524,3.1754904,0
-8.159139,4.716852,3.1868765,0
-8.17102,4.7392497,3.2101667,0
-8.145046,4.7243853,3.1739876,0
16.479322,6.573788,3.807874,3
23.303621,-14.070416,0.9694362,2
-8.161355,4.7284775,3.1910486,0
-8.154612,4.7323246,3.188509,0
12.60346,14.98978,-9.154097,6
-8.14328,4.7460856,3.21285,0
15.234949,7.9001756,5.488627,3
-8.166904,4.7398343,3.2121925,0
-8.1655245,4.7292647,3.1903026,0
-8.161607,4.7367377,3.205745,0
15.186408,7.8610497,5.509397,3
12.620578,-7.628552,-1.24891,1
16.666433,5.982031,4.7144337,3
-8.160305,4.7475386,3.2075112,0
-8.169717,4.7354455,3.2026565,0
12.603912,14.989998,-9.155032,6
14.886723,7.882998,5.4839253,3
15.256233,7.1834555,5.392533,3
12.603596,14.990388,-9.155356,6
-8.162155,4.740476,3.198391,0
-8.167964,4.7408757,3.2227428,0
12.626251,-7.6250505,-1.2426438,1
12.605359,14.989094,-9.155864,6
-8.16349,4.748007,3.2209353,0
16.692108,5.940233,5.084059,3
-8.167208,4.7402773,3.2084663,0
16.783783,6.1640987,5.0770974,3
25.810081,7.0201426,-15.228534,4
17.287378,6.1916757,4.536858,3
16.535278,5.788603,5.161577,3
12.60338,14.991013,-9.156821,6
14.233022,3.662831,2.577265,3
-8.169693,4.747571,3.2067664,0
17.774553,6.2754683,4.756908,3
-8.168495,4.7422,3.205973,0
16.588198,5.5360575,6.5664926,3
15.943189,18.451887,7.5818157,5
-8.1709385,4.752083,3.2085977,0
-8.165576,4.7483373,3.204056,0
12.602499,14.991928,-9.157037,6
15.971756,18.455246,7.55823,5
-8.17322,4.762467,3.2130747,0
14.337878,3.8966584,2.8437636,3
16.59041,5.540882,6.557152,3
14.23666,3.6674628,2.5820534,3
10.073511,-6.14148,-6.5677667,1
-8.168453,4.7522573,3.2069883,0
-8.172433,4.7506313,3.222723,0
10.073884,-6.1401796,-6.566771,1
15.26223,7.1803813,5.3867865,3
-8.175038,4.7515535,3.226879,0
16.767305,6.175894,5.0825343,3
18.23288,6.366391,4.7561903,3
14.236527,3.6671627,2.5816815,3
16.558107,5.4648623,6.6460934,3
-8.171753,4.754804,3.2279212,0
-8.181615,4.7509623,3.2444303,0
-8.182473,4.756472,3.250649,0
-8.174566,4.7598042,3.2362702,0
23.69834,-14.860251,1.2583191,2
16.270243,6.404815,3.7409933,3
-8.182331,4.7623553,3.2486682,0
19.086649,0.013660067,24.125925,7
-8.183744,4.760749,3.2527478,0
19.08717,0.01416364,24.125542,7
-8.1835,4.7722445,3.2445138,0
-8.18464,4.7647724,3.2600455,0
-8.1862,4.7655206,3.2680757,0
12.602344,14.992324,-9.158507,6
17.12916,5.6557727,4.635431,3
17.191679,5.7090135,4.57988,3
26.050102,7.2676826,-15.361208,4
-8.190562,4.7661843,3.2901669,0
22.916388,-13.887499,0.7379618,2
15.972313,18.456291,7.558193,5
-8.19479,4.7654147,3.2846556,0
-8.204148,4.755039,3.3065457,0
23.133963,-13.754353,0.8938548,2
-8.192529,4.7663894,3.2889345,0
16.468294,6.5550466,3.8130276,3
19.089203,0.016100831,24.12926,7
-8.193186,4.7607446,3.2971027,0
-8.200371,4.7653522,3.3096108,0
14.907784,7.2704782,5.6934857,3
-8.197969,4.767299,3.3033762,0
4.3281794,-4.1249194,18.682629,8
12.604328,14.991872,-9.161138,6
15.8008,6.5864363,3.136397,3
-8.192542,4.7737246,3.2937443,0
-8.19518,4.768,3.3070228,0
-8.208637,4.7566338,3.3443763,0
-8.194653,4.7712436,3.311413,0
16.47084,5.8925443,4.865395,3
23.694899,-14.860033,1.2575665,2
14.308304,3.8692408,2.7916777,3
19.089708,0.016617263,24.123875,7
16.839079,4.6965675,4.5835457,3
16.772953,5.9364395,4.723105,3
18.967508,6.6500335,4.527624,3
10.073292,-6.1441574,-6.575132,1
17.208952,6.155037,4.905485,3
19.088217,0.015076644,24.12425,7
-8.206131,4.7579203,3.3402598,0
19.074667,0.0014772009,24.125227,7
16.49419,5.4962225,6.7482133,3
16.534859,5.7944245,5.1534057,3
15.800827,6.586475,3.1361315,3
-8.202931,4.7621617,3.342338,0
-8.203716,4.7648196,3.3414602,0
-8.198935,4.7606273,3.3483303,0
18.01021,6.296462,4.7811003,3
16.800558,6.1772394,5.0761967,3
15.977749,18.458,7.5533924,5
14.885544,7.2575464,5.720623,3
-8.204112,4.75756,3.3544612,0
13.292085,-6.633892,0.7220467,1
23.152475,-13.79182,0.90787697,2
15.2165985,7.8844724,5.4998355,3
-8.205056,4.7567506,3.3636196,0
16.659,5.9766626,4.7011337,3
-8.208327,4.7523527,3.3744264,0
-8.209708,4.760413,3.3665304,0
16.23256,6.3478255,4.47272,3
-8.211002,4.7524953,3.3882298,0
15.190624,7.2051616,5.4497113,3
16.752035,6.093494,5.066099,3
25.577715,6.7895737,-15.077606,4
19.084324,0.011107887,24.122915,7
19.073229,-3.316937e-06,24.12629,7
15.97864,18.457375,7.552903,5
-8.22145,4.737036,3.4191751,0
-8.212794,4.7490535,3.3952923,0
25.574396,6.7862573,-15.075341,4
16.542332,5.8986726,4.908725,3
-8.207706,4.7529116,3.3955953,0
-8.211326,4.752101,3.3997195,0
10.070767,-6.1407094,-6.5688777,1
-8.215978,4.7467546,3.4131277,0
4.3262963,-4.129662,18.683565,8
16.66609,5.419081,6.401642,3
-8.2115345,4.7589054,3.4021487,0
-8.218315,4.7361465,3.426342,0
19.080603,0.007355219,24.126259,7
-8.218949,4.746451,3.4242094,0
-8.220063,4.747414,3.424249,0
-8.21892,4.741442,3.436952,0
-8.221635,4.727364,3.466148,0
-8.215556,4.732449,3.4487848,0
16.777626,6.1234255,5.057037,3
17.460566,6.1279874,4.8630047,3
-8.219214,4.727837,3.4708486,0
-8.221883,4.7286696,3.46837,0
-8.22271,4.720453,3.4787486,0
16.589314,5.5420766,6.5597754,3
15.953782,18.455923,7.574831,5
-8.223443,4.7185974,3.4828517,0
-8.220913,4.706482,3.5116968,0
-8.2192545,4.717518,3.4924982,0
-8.221875,4.7112737,3.4978104,0
-8.220897,4.7032676,3.5048654,0
-8.221086,4.716766,3.4914277,0
