strategy,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr,auc_pr,auc_roc,victim_threshold,perp_threshold
Smart AND grid,942,178,764,97,195,569,81,0.5449438202247191,0.7447643979057592,0.3321917808219178,0.8753846153846154,0.6448541090652391,0.41276595744680855,0.7070063694267515,0.25523560209424084,0.4550561797752809,0.3996067080511836,0.7213291958350492,0.01,0.57
Smart AND grid,942,178,764,96,178,586,82,0.5393258426966292,0.7670157068062827,0.35036496350364965,0.8772455089820359,0.6531707747514559,0.4247787610619469,0.7239915074309978,0.23298429319371727,0.4606741573033708,0.3996067080511836,0.7213291958350492,0.01,0.58
Smart AND grid,942,178,764,90,165,599,88,0.5056179775280899,0.7840314136125655,0.35294117647058826,0.8719068413391557,0.6448246955703276,0.4157043879907622,0.7314225053078556,0.21596858638743455,0.4943820224719101,0.3996067080511836,0.7213291958350492,0.01,0.59
Smart AND grid,942,178,764,86,154,610,92,0.48314606741573035,0.7984293193717278,0.35833333333333334,0.8689458689458689,0.6407876933937291,0.4114832535885168,0.7388535031847133,0.20157068062827224,0.5168539325842697,0.3996067080511836,0.7213291958350492,0.01,0.6
Smart AND grid,942,178,764,84,146,618,94,0.47191011235955055,0.8089005235602095,0.3652173913043478,0.8679775280898876,0.64040531795988,0.411764705882353,0.7452229299363057,0.19109947643979058,0.5280898876404494,0.3996067080511836,0.7213291958350492,0.01,0.61
Smart AND grid,942,178,764,82,133,631,96,0.4606741573033708,0.8259162303664922,0.3813953488372093,0.8679504814305364,0.6432951938349315,0.41730279898218836,0.7569002123142251,0.17408376963350786,0.5393258426966292,0.3996067080511836,0.7213291958350492,0.01,0.62
Smart AND grid,942,178,764,79,125,639,99,0.4438202247191011,0.8363874345549738,0.3872549019607843,0.8658536585365854,0.6401038296370374,0.4136125654450261,0.7622080679405521,0.16361256544502617,0.5561797752808989,0.3996067080511836,0.7213291958350492,0.01,0.63
Smart AND grid,942,178,764,76,112,652,102,0.42696629213483145,0.8534031413612565,0.40425531914893614,0.8647214854111406,0.640184716748044,0.41530054644808745,0.772823779193206,0.14659685863874344,0.5730337078651685,0.3996067080511836,0.7213291958350492,0.01,0.64
Smart AND grid,942,178,764,73,104,660,105,0.4101123595505618,0.8638743455497382,0.4124293785310734,0.8627450980392157,0.63699335255015,0.4112676056338028,0.778131634819533,0.13612565445026178,0.5898876404494382,0.3996067080511836,0.7213291958350492,0.01,0.65
Smart AND grid,942,178,764,69,88,676,109,0.38764044943820225,0.8848167539267016,0.4394904458598726,0.8611464968152867,0.6362286016824519,0.41194029850746267,0.7908704883227177,0.11518324607329843,0.6123595505617978,0.3996067080511836,0.7213291958350492,0.01,0.66
